Property,Original A R²,GAN-augmented A R²,Δ A,n (A),std A,Original B R²,GAN-augmented B R²,Δ B,n (B),std B
Ecorr,0.646,0.928,0.282,200565,0.001,0.742,0.928,0.186,200565,0.001
Epit,0.775,0.983,0.208,200301,0.0,0.856,0.983,0.127,200301,0.0
icorr,0.451,0.914,0.463,200564,0.001,0.598,0.914,0.316,200565,0.001
